Title,Artist,Tags,Cover
Banana Pancakes,Jack Johnson,,https://i.scdn.co/image/ab67616d0000b27306b42768ebe736eec21336ea
Basket Case,Green Day,"Rock, 90s",https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d
Bat Out Ofhell,Meat Loaf,Bangers,https://i.scdn.co/image/ab67616d0000b2734111af27787499f6d8752e9f
Be My Escape,Relient K,,https://i.scdn.co/image/ab67616d0000b273572a9d884dc34896085175af
Be Prepared,Disney (The Lion King),Duet,https://i.scdn.co/image/ab67616d0000b273506648dfeff34bdfe9a8a83f
Beat It,Michael Jackson,,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be
Beautiful Day,U2,,https://i.scdn.co/image/ab67616d0000b273e3f4221446f724b575a9aafb
Beds are Burning,Midnight Oil,"Aussie, 80s",https://i.scdn.co/image/ab67616d0000b2730dd350beeb5ac73672ad6e80
Beer,Reel Big Fish,Rock,https://i.scdn.co/image/ab67616d0000b273ef883c94c02915cacc3b5b36
Beforehe Cheats,Carrie Underwood,"Country, Classic",https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0
Best Day of My Life,American Authors,,https://i.scdn.co/image/ab67616d0000b273cc761ba55b0e7abad4539abe
Best Friend,Queen,,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
Better Behome Soon,Crowdedhouse,90s,https://i.scdn.co/image/ab67616d0000b2736cdb6a54108ae5653f79b923
Better Man,Pearl Jam,,https://i.scdn.co/image/ab67616d0000b273f0f6b8bc425633e6ed6369c4
Better Together,Jack Johnson,,https://i.scdn.co/image/ab67616d0000b27306b42768ebe736eec21336ea
Beyond,Leon Bridges,,https://i.scdn.co/image/ab67616d0000b273a47ee7a49c53ccdcb38dc874
Beyond the Sea,Bobby Darin,,https://i.scdn.co/image/ab67616d0000b273e774643594281699bde1e4ed
Big Yellow Taxi,Joni Mitchell,60s,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9
Blackhorse and A Cherry Tree,KT Tunstall,,https://i.scdn.co/image/ab67616d0000b273183730e8038fa632b2c227da
Blackbird,The Beatles,,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2
Blank Space,Taylor Swift,,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
Bloom,The Paper Kites,Aussie,https://i.scdn.co/image/ab67616d0000b27355bd9d9e0f50d28ddc9c1308
Blue Suede Shoes,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b273f45cec7e72b9dec993c18872
Bohemian Rhapsody,Queen,Bangers,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
Bold As Love,Jimihendrix,,https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2
Boo'd Up,Ella Mai,,https://i.scdn.co/image/ab67616d00001e021067b9877d6435ae9ecb26ac
Born and Raised,John Mayer,,https://i.scdn.co/image/ab67616d0000b2733c6bbf44de57c6eb51818694
Born This Way,Lady Gaga,Pop,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
Born to Run,Bruce Springsteen,Bangers,https://i.scdn.co/image/ab67616d0000b273503143a281a3f30268dcd9f9
Boy in the Bubble,Paul Simon,Bangers,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8
Boys of Summer,Donhenley,"Rock, 80s, 2000s",https://i.scdn.co/image/ab67616d0000b273e59d7ff5a9d7634c02135b19
Brass in Pocket,The Pretenders,80s,https://i.scdn.co/image/ab67616d0000b2735e811d4435bc08145331eaa6
Brothers in Arms,Dire Straits,,https://i.scdn.co/image/ab67616d0000b273fb995d2871f084b34afae3b3
Brown Eyed Girl,Van Morrison,60s,https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936
Brown Eyed Lover,Allen Stone,,https://i.scdn.co/image/ab67616d0000b27358076b915a6a926d1020124b
Buddyholly,Weezer,90s,https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96
Build Me Up Buttercup,The Foundations,Soul,https://i.scdn.co/image/ab67616d0000b273c76041077e2a0de9694b9db3
Burn,Hamilton,Showtunes,https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540
Burn For You,John Farnham,,https://i.scdn.co/image/ab67616d0000b273bc42a3c1798a35d10a72b052
Burn Your Name,Powderfinger,Aussie,https://i.scdn.co/image/ab67616d0000b27372d303d2481842499d152df4
Burning Love,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b273524e9e45a2e0067b8189a92e
Cabaret,Liza Minelli,Showtunes,https://i.scdn.co/image/ab67616d00001e023f0ddaafb889a16220871372
Cake By The Ocean,DNCE,2020s,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
California,Phantom Planet,2000s,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193
California Gurls,Katy Perry,"Pop, 2000s",https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888
Call Me,Blondie,80s,https://i.scdn.co/image/ab67616d0000b27313cbe3e4dfa81fe5b91f2f1c
Call me Maybe,Carly Rae Jepsen,,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c
Can You Feel the Love Tonight,Disney (The Lion King),Duet,https://i.scdn.co/image/ab67616d0000b273506648dfeff34bdfe9a8a83f
Can'thelp Falling In Love,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b273acaf8d921e2a21c30a6451e1
Can't Stop The Feeling,Justin Timberlake,,https://i.scdn.co/image/ab67616d00001e02d965d29d7dcf46ade5a8a7e4
Can't Take My Eyes Off You,Frankie Valli and the Four Seasons,,https://i.scdn.co/image/ab67616d0000b273e5af26981a3a99d9994e0768
Cannedheat,Jamiroquai,,https://i.scdn.co/image/ab67616d0000b2734ccb64f022a53d3e8ec84a20
Canticle of the Turning,Christmas,,https://i.scdn.co/image/ab67616d0000b27319a9ba690cee271a17434290
